Project_code	Submitter_donor_ID	Normal_WGS_aliquot_ID	Tumour_WGS_aliquot_ID	Stars	Mean_Coverage_Normal	Mean_Coverage_Tumour	Median/Mean_Coverage_Normal	FWHM_Normal	Median/Mean_Coverage_Tumour	FWHM_Tumour	Somatic_Mutation_Calling_Coverage	%_of_paired_reads_mapping_to_different_chromosomes_Normal	%_of_paired_reads_mapping_to_different_chromosomes_Tumour	Ratio_of_difference_in_edits_between_paired_reads_Normal	Ratio_of_difference_in_edits_between_paired_reads_Tumour
SARC-US	c20682a1-f340-430d-99f9-077fe093ed19	e5aba172-82cb-406e-9841-d2568d14b2fc	03ced0ce-186a-4349-8d98-572c2bc90382	5.0	32.57	51.85	1.010840745	0.0806011037	0.9784247014	0.0811056507	2806141608	1.43	1.15	1.365401943	1.231470346
SARC-US	c5b0e6be-48b5-40e5-9d90-f9112050aa88	546cfd48-e472-4186-a83a-09f5aef53000	4d4eff82-ede0-47f1-b49a-ada025952114	5.0	31.87	45.68	1.007182098	0.098323679	1.056347375	0.1373657028	2804852560	1.11	1.32	1.303709125	1.646618858
SARC-US	c5e23947-253b-40d2-916a-277b2a580be2	9f3e9eb7-1873-4f33-a9c8-671eae8cc921	522dc834-8367-4f49-b93b-fcba91a2de7e	5.0	33.50	53.66	1.012709142	0.0797710172	0.9483731244	0.0662213665	2801667686	1.34	1.54	1.316976988	1.258390146
SARC-US	cd73a55f-03c1-4da0-9fa7-1ae4a263664e	02de8a64-bd6d-46da-9fc5-81d2a543e25b	63db50d6-5ef2-44d0-9906-26eae74ecf44	5.0	33.06	51.35	1.02699314	0.080876192	0.9632485372	0.06938431	2811074623	1.69	1.28	1.255025807	1.242785246
SARC-US	d40c99d0-79f6-499d-b7f1-5fc4237cfc57	de98db7b-81ee-4500-ab0a-80894271d467	729229fe-92b9-439b-acd2-b49159116a41	5.0	31.04	52.66	1.026215779	0.084193949	1.000673819	0.0672710887	2819932823	1.31	1.11	1.271963764	1.289149301
SARC-US	e786de34-4c21-460f-89ab-008de4347049	97a68a03-dc99-4ba9-8b81-1b40f2ce32ea	7d734d06-f2b1-4924-a201-620ac8084c49	5.0	32.39	58.39	1.024548126	0.0800076551	0.9843045135	0.0652409031	2822267671	0.95	1.15	1.245680792	1.337420012
SARC-US	e7a72f7e-77b1-4d95-8f37-39a6cffc35dc	c7214163-07fc-488c-90f5-a10990ebaa09	a2f02ff7-8433-4cb5-9324-34f13edeaca1	5.0	32.43	49.31	1.025708315	0.0797560431	0.9551528936	0.0794798417	2814256739	1.44	1.22	1.387191956	1.294129099
SARC-US	ea0e5ae7-1f15-4504-aea3-efd1f6733304	82655523-70c2-4b8d-83cd-bf3dfa800b4a	c556f81b-8a6c-4bbb-876f-2e2ce570c185	5.0	35.93	62.77	1.027368327	0.0789141824	0.9930904062	0.0982683618	2828164013	1.50	1.27	1.522877009	1.43247192
SARC-US	ea3a524b-6ee3-4904-8924-29fcaa20985c	d4b86f75-b56f-404f-b88d-20adf47e17dd	9e7b51fb-2249-451a-bf23-bb2a3d935928	5.0	30.99	53.16	1.027260065	0.0762832854	0.9793381179	0.0662725245	2813819314	1.17	0.95	1.263256137	1.176737064
SARC-US	f75d2589-fd7b-49a1-a1c8-0b4726b81f3c	7beaaff7-e241-4851-8dba-fd0b302c53cf	968929b0-6bfb-4a2c-bd4d-570bfcdb8a6a	5.0	31.21	52.86	1.025841183	0.0765595892	1.004264538	0.0616928363	2824592532	1.42	1.18	1.231328301	1.249769001
